0.000102	0.001466
0.000813	0.003959
0.002034	0.006255
0.004067	0.009133
0.006609	0.012145
0.009151	0.014727
0.012201	0.017476
0.018302	0.022201
0.024403	0.026083
0.030503	0.029338
0.036604	0.032084
0.042705	0.034427
0.050839	0.037069
0.061007	0.039788
0.071174	0.042051
0.081342	0.043977
0.09151		0.045624
0.101678	0.047049
0.116929	0.048852
0.132181	0.050333
0.147433	0.051581
0.162684	0.052648
0.177936	0.05354
0.193188	0.054258
0.208439	0.054802
0.223691	0.055178
0.238943	0.055414
0.254194	0.055527
0.269446	0.05554
0.284697	0.055472
0.305033	0.055281
0.325369	0.05498
0.345704	0.054576
0.36604		0.054074
0.386375	0.053479
0.406711	0.052796
0.427046	0.052028
0.447382	0.051176
0.467717	0.050241
0.488053	0.049223
0.508388	0.048123
0.528724	0.046942
0.549059	0.045679
0.569395	0.044336
0.589731	0.042911
0.610066	0.041404
0.630402	0.039817
0.650737	0.038149
0.671073	0.036402
0.691408	0.034577
0.711744	0.032673
0.732079	0.030696
0.752415	0.028652
0.77275		0.026547
0.793086	0.024387
0.813421	0.02218
0.833757	0.01993
0.854092	0.017642
0.874428	0.01532
0.894764	0.01297
0.915099	0.010595
0.925267	0.009393
0.935435	0.008179
0.945602	0.00695
0.95577		0.005702
0.965938	0.004433
0.976106	0.003603
0.986274	0.002805
0.996441	0.002008
1.000000	0.001729
