AoA	Cl	Cd	Cm
-88.0	-0.0582	1.55	0.54
-87.0	-0.0859	1.545	0.535
-86.0	-0.1136	1.54	0.53
-85.0	-0.1414	1.535	0.525
-84.0	-0.1691	1.53	0.52
-83.0	-0.1968	1.525	0.515
-82.0	-0.2245	1.52	0.51
-81.0	-0.2523	1.515	0.505
-80.0	-0.28	1.51	0.5
-79.0	-0.3077	1.4965	0.495
-78.0	-0.3355	1.483	0.49
-77.0	-0.3632	1.4695	0.485
-76.0	-0.3909	1.456	0.48
-75.0	-0.4186	1.4425	0.475
-74.0	-0.4464	1.429	0.47
-73.0	-0.4741	1.4155	0.465
-72.0	-0.5018	1.402	0.46
-71.0	-0.5295	1.3885	0.455
-70.0	-0.5573	1.375	0.45
-69.0	-0.585	1.3615	0.445
-68.0	-0.6127	1.348	0.44
-67.0	-0.6405	1.3345	0.435
-66.0	-0.6682	1.321	0.43
-65.0	-0.6959	1.3075	0.425
-64.0	-0.7236	1.294	0.42
-63.0	-0.7514	1.2805	0.415
-62.0	-0.7791	1.267	0.41
-61.0	-0.8068	1.2535	0.405
-60.0	-0.8345	1.24	0.4
-59.0	-0.8623	1.223	0.393
-58.0	-0.89	1.206	0.386
-57.0	-0.9025	1.189	0.379
-56.0	-0.915	1.172	0.372
-55.0	-0.9275	1.155	0.365
-54.0	-0.94	1.138	0.358
-53.0	-0.9525	1.121	0.351
-52.0	-0.965	1.104	0.344
-51.0	-0.9775	1.087	0.337
-50.0	-0.99	1.07	0.33
-49.0	-1.0025	1.053	0.323
-48.0	-1.015	1.036	0.316
-47.0	-1.0275	1.019	0.309
-46.0	-1.04	1.002	0.302
-45.0	-1.0525	0.985	0.295
-44.0	-1.065	0.968	0.288
-43.0	-1.0775	0.951	0.281
-42.0	-1.09	0.934	0.274
-41.0	-1.1025	0.917	0.267
-40.0	-1.115	0.9	0.26
-39.0	-1.1275	0.874	0.252
-38.0	-1.14	0.848	0.244
-37.0	-1.1394	0.822	0.236
-36.0	-1.1389	0.796	0.228
-35.0	-1.1383	0.77	0.22
-34.0	-1.1378	0.744	0.212
-33.0	-1.1372	0.718	0.204
-32.0	-1.1367	0.692	0.196
-31.0	-1.1361	0.666	0.188
-30.0	-1.1356	0.64	0.18
-29.0	-1.135	0.614	0.1746
-28.0	-1.1344	0.588	0.1693
-27.0	-1.1339	0.562	0.1639
-26.0	-1.1333	0.536	0.1586
-25.0	-1.1328	0.51	0.1532
-24.0	-1.1322	0.4839	0.1479
-23.0	-1.1317	0.4579	0.1425
-22.0	-1.1311	0.4318	0.1371
-21.0	-1.1306	0.4058	0.1318
-20.0	-1.13	0.3797	0.1264
-19.0	-1.1395	0.3473	0.1189
-18.0	-1.1272	0.3053	0.1077
-17.0	-1.0935	0.2588	0.0943
-16.0	-1.0412	0.2129	0.0799
-15.0	-0.9758	0.1718	0.064
-14.0	-0.9076	0.1389	0.051
-13.0	-0.8202	0.1155	0.0415
-12.0	-0.7615	0.1016	0.0357
-11.0	-0.7292	0.0955	0.0329
-10.0	-0.7216	0.0943	0.0323
-9.0	-0.7647	0.0677	0.0076
-8.0	-0.7941	0.0425	-0.015
-7.0	-0.7763	0.0237	-0.0229
-6.0	-0.6966	0.0145	-0.0194
-5.0	-0.578	0.0112	-0.0154
-4.0	-0.4452	0.01	-0.014
-3.0	-0.3098	0.0095	-0.014
-2.0	-0.174	0.0092	-0.0142
-1.0	-0.0382	0.0091	-0.0147
0.0	0.0975	0.0091	-0.0152
1.0	0.2332	0.0092	-0.0158
2.0	0.3689	0.0094	-0.0162
3.0	0.5045	0.0097	-0.0163
4.0	0.64	0.0102	-0.0159
5.0	0.7764	0.0108	-0.0144
6.0	0.9123	0.0117	-0.0109
7.0	1.0355	0.0146	-0.005
8.0	1.1212	0.0226	0.0015
9.0	1.1454	0.0364	0.0022
10.0	1.1097	0.0556	-0.0098
11.0	1.0498	0.0786	-0.03
12.0	0.9958	0.1042	-0.0505
13.0	0.9557	0.1304	-0.0679
14.0	0.9307	0.1559	-0.0816
15.0	0.9166	0.1817	-0.0928
16.0	0.9087	0.2082	-0.1025
17.0	0.9056	0.2352	-0.1108
18.0	0.9067	0.2622	-0.1182
19.0	0.91	0.2897	-0.1249
20.0	0.9152	0.3171	-0.131
21.0	0.9221	0.3196	-0.1313
22.0	0.9417	0.3295	-0.1329
23.0	0.9716	0.3493	-0.1368
24.0	1.0086	0.3804	-0.1434
25.0	1.0486	0.422	-0.153
26.0	1.0874	0.4718	-0.1648
27.0	1.1212	0.5259	-0.1781
28.0	1.1467	0.5791	-0.1916
29.0	1.1613	0.6256	-0.2038
30.0	1.1639	0.66	-0.2133
31.0	1.1603	0.6805	-0.221
32.0	1.1567	0.701	-0.2287
33.0	1.1531	0.7215	-0.2363
34.0	1.1494	0.742	-0.244
35.0	1.1458	0.7625	-0.2517
36.0	1.1422	0.783	-0.2593
37.0	1.1386	0.8035	-0.267
38.0	1.135	0.824	-0.2747
39.0	1.1228	0.8445	-0.2823
40.0	1.1105	0.865	-0.29
41.0	1.0982	0.8855	-0.297
42.0	1.086	0.906	-0.304
43.0	1.0738	0.9265	-0.311
44.0	1.0615	0.947	-0.318
45.0	1.0492	0.9675	-0.325
46.0	1.037	0.988	-0.332
47.0	1.0248	1.0085	-0.339
48.0	1.0125	1.029	-0.346
49.0	1.0002	1.0495	-0.353
50.0	0.988	1.07	-0.36
51.0	0.9758	1.0843	-0.367
52.0	0.9635	1.0987	-0.374
53.0	0.9512	1.113	-0.381
54.0	0.939	1.1273	-0.388
55.0	0.9268	1.1417	-0.395
56.0	0.9145	1.156	-0.402
57.0	0.9022	1.1703	-0.409
58.0	0.89	1.1847	-0.416
59.0	0.8623	1.199	-0.423
60.0	0.8345	1.2133	-0.43
61.0	0.8068	1.2277	-0.435
62.0	0.7791	1.242	-0.44
63.0	0.7514	1.2563	-0.445
64.0	0.7236	1.2707	-0.45
65.0	0.6959	1.285	-0.455
66.0	0.6682	1.2993	-0.46
67.0	0.6405	1.3137	-0.465
68.0	0.6127	1.328	-0.47
69.0	0.585	1.3423	-0.475
70.0	0.5573	1.3567	-0.48
71.0	0.5295	1.371	-0.485
72.0	0.5018	1.3853	-0.49
73.0	0.4741	1.3997	-0.495
74.0	0.4464	1.414	-0.5
75.0	0.4186	1.4283	-0.505
76.0	0.3909	1.4427	-0.51
77.0	0.3632	1.457	-0.515
78.0	0.3355	1.4713	-0.52
79.0	0.3077	1.4857	-0.525
80.0	0.28	1.5	-0.53
81.0	0.2523	1.506	-0.535
82.0	0.2245	1.512	-0.54
83.0	0.1968	1.518	-0.545
84.0	0.1691	1.524	-0.55
85.0	0.1414	1.53	-0.555
86.0	0.1136	1.536	-0.56
87.0	0.0859	1.542	-0.565
88.0	0.0582	1.548	-0.57
89.0	0.0305	1.554	-0.575
90.0	0.0027	1.56	-0.58
91.0	-0.025	1.555	-0.582
92.0	-0.0527	1.55	-0.584
93.0	-0.0805	1.545	-0.586
94.0	-0.1082	1.54	-0.588
95.0	-0.1359	1.535	-0.59
96.0	-0.1636	1.53	-0.592
97.0	-0.1914	1.525	-0.594
98.0	-0.2191	1.52	-0.596
99.0	-0.2468	1.515	-0.598
100.0	-0.2745	1.51	-0.6
101.0	-0.3023	1.496	-0.602
102.0	-0.33	1.482	-0.604
103.0	-0.3577	1.468	-0.606
104.0	-0.3855	1.454	-0.608
105.0	-0.4132	1.44	-0.61
106.0	-0.4409	1.426	-0.612
107.0	-0.4686	1.412	-0.614
108.0	-0.4964	1.398	-0.616
109.0	-0.5241	1.384	-0.618
110.0	-0.5518	1.37	-0.62
111.0	-0.5795	1.356	-0.622
112.0	-0.6073	1.342	-0.624
113.0	-0.635	1.328	-0.626
114.0	-0.6465	1.314	-0.628
115.0	-0.658	1.3	-0.63
116.0	-0.6695	1.286	-0.627
117.0	-0.681	1.272	-0.624
118.0	-0.6925	1.258	-0.621
119.0	-0.704	1.244	-0.618
120.0	-0.7155	1.23	-0.615
121.0	-0.727	1.213	-0.612
122.0	-0.7385	1.196	-0.609
123.0	-0.75	1.179	-0.606
124.0	-0.7615	1.162	-0.603
125.0	-0.773	1.145	-0.6
126.0	-0.7845	1.128	-0.597
127.0	-0.796	1.111	-0.594
128.0	-0.8075	1.094	-0.591
129.0	-0.819	1.077	-0.588
130.0	-0.8305	1.06	-0.585
131.0	-0.842	1.043	-0.582
132.0	-0.8535	1.026	-0.579
133.0	-0.865	1.009	-0.576
134.0	-0.8704	0.992	-0.573
135.0	-0.8758	0.975	-0.57
136.0	-0.8812	0.958	-0.567
137.0	-0.8866	0.941	-0.564
138.0	-0.892	0.924	-0.561
139.0	-0.8974	0.907	-0.558
140.0	-0.9028	0.89	-0.555
141.0	-0.9082	0.864	-0.5488
142.0	-0.9136	0.838	-0.5425
143.0	-0.919	0.812	-0.5362
144.0	-0.9244	0.786	-0.53
145.0	-0.9298	0.76	-0.5238
146.0	-0.9352	0.734	-0.5175
147.0	-0.9406	0.708	-0.5112
148.0	-0.946	0.682	-0.505
149.0	-0.9514	0.656	-0.4988
150.0	-0.9568	0.63	-0.4925
151.0	-0.9622	0.604	-0.4862
152.0	-0.9676	0.578	-0.48
153.0	-0.973	0.552	-0.4738
154.0	-0.9784	0.526	-0.4675
155.0	-0.9838	0.5	-0.4612
156.0	-0.9892	0.4689	-0.455
157.0	-0.9946	0.4378	-0.4488
158.0	-1.0	0.4067	-0.4425
159.0	-0.965	0.3756	-0.4362
160.0	-0.93	0.3444	-0.43
161.0	-0.895	0.3133	-0.4238
162.0	-0.86	0.2822	-0.4175
163.0	-0.825	0.2511	-0.4112
164.0	-0.79	0.22	-0.405
165.0	-0.755	0.2017	-0.3988
166.0	-0.72	0.1833	-0.3925
167.0	-0.745	0.165	-0.3862
168.0	-0.77	0.1467	-0.38
169.0	-0.795	0.1283	-0.3825
170.0	-0.82	0.11	-0.385
171.0	-0.734	0.096	-0.3875
172.0	-0.648	0.082	-0.39
173.0	-0.562	0.068	-0.3625
174.0	-0.476	0.054	-0.335
175.0	-0.39	0.04	-0.3075
176.0	-0.304	0.035	-0.28
177.0	-0.218	0.03	-0.22
178.0	-0.132	0.025	-0.16
179.0	-0.046	0.02	-0.1
180.0	0.04	0.015	-0.04
